"SNO","MATCH TYPE","DATE","Team ONE","TEAM TWO","RESULT","SCORE SUMMARY"
"15","League","09/29/2024","New England Eagles","NYC Titans","New England Eagles won by 16 Runs","New England Eagles: 114/8(20.0)NYC Titans: 98/7(20.0)"
"16","League","09/29/2024","Houston Hurricanes","Chicago Tigers","Houston Hurricanes won by 47 Runs","Houston Hurricanes: 172/5(20.0)Chicago Tigers: 125/9(18.5)"
"17","League","09/29/2024","New Jersey Stallions","New Jersey Somerset Cavaliers","New Jersey Stallions won by 59 Runs (D/L)","New Jersey Stallions: 123/8(18.0)New Jersey Somerset Cavaliers: 64/8(18.0)"
"18","League","09/28/2024","Chicago Kingsmen","Dallas Xforia Giants","Chicago Kingsmen won by 34 Runs","Chicago Kingsmen: 156/8(20.0)Dallas Xforia Giants: 122/8(20.0)"
"19","League","09/28/2024","Silicon Valley Strikers","Golden State Grizzlies","Silicon Valley Strikers won by 63 Runs","Silicon Valley Strikers: 226/2(20.0)Golden State Grizzlies: 163/10(17.1)"
"20","League","09/28/2024","New England Eagles","NYC Titans","NYC Titans won by 8 Wickets","New England Eagles: 101/10(19.3)NYC Titans: 103/2(15.4)"
"21","League","09/28/2024","San Diego Surf Riders","Los Angeles Lashings","Super Over. Winner: Los Angeles Lashings","San Diego Surf Riders: 178/5(20.0)Los Angeles Lashings: 178/9(20.0)"
"22","League","09/28/2024","Chicago Tigers","Lone Star Athletics","Lone Star Athletics won by 6 Wickets","Chicago Tigers: 146/8(20.0)Lone Star Athletics: 149/4(15.4)"
"23","League","09/28/2024","Michigan Cricket Stars","Houston Hurricanes","Houston Hurricanes won by 6 Wickets","Michigan Cricket Stars: 138/3(20.0)Houston Hurricanes: 140/4(17.1)"
"24","League","09/28/2024","New Jersey Somerset Cavaliers","New Jersey Stallions","New Jersey Somerset Cavaliers won by 27 Runs","New Jersey Somerset Cavaliers: 122/5(20.0)New Jersey Stallions: 95/10(18.0)"
"25","League","09/28/2024","Ft. Lauderdale Lions","Orlando Galaxy","Abandoned.","Ft. Lauderdale Lions: 0/0(0.0)"
"26","League","09/27/2024","Ft. Lauderdale Lions","Orlando Galaxy","Abandoned.","Ft. Lauderdale Lions: 0/0(0.0)"
"27","League","09/27/2024","Lone Star Athletics","Chicago Kingsmen","Chicago Kingsmen won by 7 Wickets","Lone Star Athletics: 114/9(20.0)Chicago Kingsmen: 115/3(14.5)"
"28","League","09/23/2024","Los Angeles Lashings","Seattle Thunderbolts","Los Angeles Lashings won by 16 Runs","Los Angeles Lashings: 173/2(20.0)Seattle Thunderbolts: 157/10(19.3)"
"29","League","09/22/2024","Baltimore Royals","Morrisville Raptors","Abandoned.","Baltimore Royals: 0/0(0.0)"
"30","League","09/22/2024","St. Louis Americans","Chicago Kingsmen","Abandoned.","St. Louis Americans: 0/0(0.0)"
"31","League","09/22/2024","Seattle Thunderbolts","Los Angeles Lashings","Seattle Thunderbolts won by 11 Runs","Seattle Thunderbolts: 174/8(20.0)Los Angeles Lashings: 163/6(20.0)"
"32","League","09/22/2024","Orlando Galaxy","Atlanta Lightning","Atlanta Lightning won by 5 Wickets","Orlando Galaxy: 115/10(18.2)Atlanta Lightning: 121/5(14.0)"
"33","League","09/22/2024","New Jersey Stallions","The Philadelphians","The Philadelphians won by 4 Wickets","New Jersey Stallions: 125/10(19.4)The Philadelphians: 126/6(19.0)"
"34","League","09/22/2024","Michigan Cricket Stars","Chicago Tigers","Abandoned.","Michigan Cricket Stars: 0/0(0.0)"
"35","League","09/22/2024","Atlanta Fire","Ft. Lauderdale Lions","Atlanta Fire won by 74 Runs","Atlanta Fire: 236/4(20.0)Ft. Lauderdale Lions: 162/7(20.0)"
"36","League","09/22/2024","New England Eagles","Manhattan Yorkers","New England Eagles won by 8 Runs","New England Eagles: 128/7(20.0)Manhattan Yorkers: 120/10(19.3)"
"37","League","09/21/2024","Morrisville Raptors","Baltimore Royals","Abandoned.","Morrisville Raptors: 0/0(0.0)"
"38","League","09/21/2024","Golden State Grizzlies","East Bay Blazers","East Bay Blazers won by 8 Wickets","Golden State Grizzlies: 97/10(19.3)East Bay Blazers: 101/2(11.0)"
"39","League","09/21/2024","Chicago Kingsmen","Michigan Cricket Stars","Chicago Kingsmen won by 48 Runs","Chicago Kingsmen: 178/5(20.0)Michigan Cricket Stars: 130/8(19.5)"
"40","League","09/21/2024","Houston Hurricanes","Dallas Xforia Giants","Dallas Xforia Giants won by 6 Wickets","Houston Hurricanes: 124/10(19.5)Dallas Xforia Giants: 125/4(17.0)"
"41","League","09/21/2024","Ft. Lauderdale Lions","Atlanta Lightning","Ft. Lauderdale Lions won by 57 Runs","Ft. Lauderdale Lions: 181/2(20.0)Atlanta Lightning: 124/10(17.4)"
"42","League","09/21/2024","New Jersey Somerset Cavaliers","New England Eagles","New Jersey Somerset Cavaliers won by 62 Runs","New Jersey Somerset Cavaliers: 189/5(20.0)New England Eagles: 127/10(18.5)"
"43","League","09/21/2024","East Bay Blazers","Golden State Grizzlies","East Bay Blazers won by 106 Runs","East Bay Blazers: 191/3(20.0)Golden State Grizzlies: 85/6(20.0)"
"44","League","09/21/2024","Chicago Tigers","St. Louis Americans","St. Louis Americans won by 4 Wickets","Chicago Tigers: 100/10(17.5)St. Louis Americans: 102/6(14.3)"
"45","League","09/21/2024","Orlando Galaxy","Atlanta Fire","Atlanta Fire won by 3 Wickets","Orlando Galaxy: 111/9(20.0)Atlanta Fire: 115/7(14.2)"
"46","League","09/21/2024","Manhattan Yorkers","NYC Titans","NYC Titans won by 6 Wickets","Manhattan Yorkers: 100/10(18.1)NYC Titans: 101/4(18.2)"
"47","League","09/20/2024","Houston Hurricanes","Dallas Xforia Giants","Dallas Xforia Giants won by 5 Wickets","Houston Hurricanes: 133/9(20.0)Dallas Xforia Giants: 139/5(19.4)"
"48","League","09/20/2024","Seattle Thunderbolts","San Diego Surf Riders","Seattle Thunderbolts won by 20 Runs","Seattle Thunderbolts: 181/5(20.0)San Diego Surf Riders: 161/6(20.0)"
"49","League","09/20/2024","St. Louis Americans","Michigan Cricket Stars","St. Louis Americans won by 15 Runs","St. Louis Americans: 157/8(20.0)Michigan Cricket Stars: 142/8(20.0)"
"50","League","09/20/2024","Ft. Lauderdale Lions","Atlanta Lightning","Atlanta Lightning won by 4 Wickets","Ft. Lauderdale Lions: 118/7(20.0)Atlanta Lightning: 119/6(18.5)"
"51","League","09/20/2024","Atlanta Fire","Orlando Galaxy","Atlanta Fire won by 76 Runs","Atlanta Fire: 221/6(20.0)Orlando Galaxy: 145/9(19.5)"
"52","League","09/20/2024","Manhattan Yorkers","The Philadelphians","Manhattan Yorkers won by 5 Runs","Manhattan Yorkers: 163/4(20.0)The Philadelphians: 158/9(20.0)"
"53","League","09/20/2024","Seattle Thunderbolts","San Diego Surf Riders","Seattle Thunderbolts won by 6 Runs","Seattle Thunderbolts: 143/5(20.0)San Diego Surf Riders: 137/8(20.0)"
"54","League","09/20/2024","Chicago Tigers","Chicago Kingsmen","Chicago Kingsmen won by 9 Wickets","Chicago Tigers: 152/6(20.0)Chicago Kingsmen: 153/1(15.4)"
"55","League","09/16/2024","San Diego Surf Riders","Silicon Valley Strikers","San Diego Surf Riders won by 3 Runs","San Diego Surf Riders: 173/4(20.0)Silicon Valley Strikers: 170/10(19.4)"
"56","League","09/16/2024","Seattle Thunderbolts","Golden State Grizzlies","Seattle Thunderbolts won by 29 Runs","Seattle Thunderbolts: 179/3(20.0)Golden State Grizzlies: 150/7(20.0)"
"57","League","09/16/2024","Los Angeles Lashings","East Bay Blazers","East Bay Blazers won by 5 Wickets","Los Angeles Lashings: 121/8(20.0)East Bay Blazers: 125/5(15.3)"
"58","League","09/15/2024","Dallas Xforia Giants","Lone Star Athletics","Dallas Xforia Giants won by 73 Runs","Dallas Xforia Giants: 185/4(20.0)Lone Star Athletics: 112/10(17.1)"
"59","League","09/15/2024","Los Angeles Lashings","Silicon Valley Strikers","Silicon Valley Strikers won by 2 Wickets","Los Angeles Lashings: 157/7(20.0)Silicon Valley Strikers: 158/8(19.3)"
"60","League","09/15/2024","St. Louis Americans","Chicago Tigers","St. Louis Americans won by 5 Runs","St. Louis Americans: 150/6(20.0)Chicago Tigers: 145/10(20.0)"
"61","League","09/15/2024","New Jersey Somerset Cavaliers","NYC Titans","New Jersey Somerset Cavaliers won by 70 Runs","New Jersey Somerset Cavaliers: 195/7(20.0)NYC Titans: 125/5(20.0)"
"62","League","09/15/2024","East Bay Blazers","Seattle Thunderbolts","Seattle Thunderbolts won by 9 Wickets","East Bay Blazers: 99/10(19.1)Seattle Thunderbolts: 100/1(13.4)"
"63","League","09/15/2024","Golden State Grizzlies","San Diego Surf Riders","Golden State Grizzlies won by 38 Runs","Golden State Grizzlies: 176/7(20.0)San Diego Surf Riders: 138/8(20.0)"
"64","League","09/15/2024","Atlanta Fire","Atlanta Lightning","Atlanta Fire won by 4 Runs","Atlanta Fire: 137/8(20.0)Atlanta Lightning: 133/8(20.0)"
"65","League","09/15/2024","Orlando Galaxy","Morrisville Raptors","Morrisville Raptors won by 4 Wickets","Orlando Galaxy: 122/8(20.0)Morrisville Raptors: 123/6(17.1)"
"66","League","09/15/2024","Michigan Cricket Stars","Chicago Kingsmen","Chicago Kingsmen won by 8 Wickets","Michigan Cricket Stars: 100/8(20.0)Chicago Kingsmen: 103/2(14.2)"
"67","League","09/15/2024","New Jersey Stallions","New England Eagles","New Jersey Stallions won by 43 Runs","New Jersey Stallions: 199/5(20.0)New England Eagles: 156/9(20.0)"
"68","League","09/14/2024","Baltimore Royals","Orlando Galaxy","Abandoned.","Baltimore Royals: 0/0(0.0)"
"69","League","09/14/2024","Lone Star Athletics","Dallas Xforia Giants","Dallas Xforia Giants won by 7 Wickets","Lone Star Athletics: 112/9(20.0)Dallas Xforia Giants: 113/3(16.2)"
"70","League","09/14/2024","East Bay Blazers","San Diego Surf Riders","San Diego Surf Riders won by 4 Wickets","East Bay Blazers: 146/10(19.4)San Diego Surf Riders: 147/6(19.3)"
"71","League","09/14/2024","Chicago Kingsmen","St. Louis Americans","Chicago Kingsmen won by 32 Runs","Chicago Kingsmen: 200/6(20.0)St. Louis Americans: 168/8(20.0)"
"72","League","09/14/2024","New Jersey Stallions","New England Eagles","New Jersey Stallions won by 22 Runs","New Jersey Stallions: 141/10(20.0)New England Eagles: 119/10(18.5)"
"73","League","09/14/2024","Seattle Thunderbolts","Silicon Valley Strikers","Seattle Thunderbolts won by 7 Runs","Seattle Thunderbolts: 166/5(20.0)Silicon Valley Strikers: 159/10(19.3)"
"74","League","09/14/2024","Los Angeles Lashings","Golden State Grizzlies","Golden State Grizzlies won by 4 Wickets","Los Angeles Lashings: 144/7(20.0)Golden State Grizzlies: 147/6(19.5)"
"75","League","09/14/2024","Atlanta Fire","Atlanta Lightning","Atlanta Lightning won by 3 Wickets","Atlanta Fire: 105/8(20.0)Atlanta Lightning: 106/7(18.3)"
"76","League","09/14/2024","Chicago Tigers","Michigan Cricket Stars","Chicago Tigers won by 12 Runs","Chicago Tigers: 128/10(18.4)Michigan Cricket Stars: 116/10(19.3)"
"77","League","09/13/2024","Morrisville Raptors","Orlando Galaxy","Abandoned.","Morrisville Raptors: 0/0(0.0)"
"78","League","09/13/2024","East Bay Blazers","Seattle Thunderbolts","East Bay Blazers won by 25 Runs","East Bay Blazers: 162/9(20.0)Seattle Thunderbolts: 137/7(20.0)"
"79","League","09/13/2024","Golden State Grizzlies","San Diego Surf Riders","San Diego Surf Riders won by 7 Wickets","Golden State Grizzlies: 176/5(20.0)San Diego Surf Riders: 177/3(18.0)"
"80","League","09/13/2024","Los Angeles Lashings","Silicon Valley Strikers","Silicon Valley Strikers won by 5 Wickets","Los Angeles Lashings: 179/7(20.0)Silicon Valley Strikers: 181/5(19.4)"
"81","League","09/13/2024","Chicago Tigers","Chicago Kingsmen","Chicago Kingsmen won by 6 Wickets","Chicago Tigers: 103/10(19.3)Chicago Kingsmen: 109/4(16.1)"
"82","League","09/08/2024","Michigan Cricket Stars","St. Louis Americans","St. Louis Americans won by 8 Wickets","Michigan Cricket Stars: 125/10(19.2)St. Louis Americans: 127/2(10.0)"
"83","League","09/08/2024","Manhattan Yorkers","NYC Titans","Manhattan Yorkers won by 33 Runs","Manhattan Yorkers: 141/6(20.0)NYC Titans: 108/8(20.0)"
"84","League","09/08/2024","Baltimore Royals","Ft. Lauderdale Lions","Baltimore Royals won by 62 Runs","Baltimore Royals: 173/5(20.0)Ft. Lauderdale Lions: 111/10(20.0)"
"85","League","09/08/2024","Houston Hurricanes","Lone Star Athletics","Lone Star Athletics won by 9 Wickets","Houston Hurricanes: 109/8(20.0)Lone Star Athletics: 113/1(17.0)"
"86","League","09/08/2024","The Philadelphians","New Jersey Stallions","New Jersey Stallions won by 4 Wickets","The Philadelphians: 139/5(20.0)New Jersey Stallions: 140/6(19.0)"
"87","League","09/07/2024","Lone Star Athletics","Houston Hurricanes","Abandoned.","Lone Star Athletics: 0/0(0.0)"
"88","League","09/07/2024","Michigan Cricket Stars","St. Louis Americans","St. Louis Americans won by 3 Wickets","Michigan Cricket Stars: 171/4(20.0)St. Louis Americans: 176/7(19.4)"
"89","League","09/07/2024","Ft. Lauderdale Lions","Baltimore Royals","Baltimore Royals won by 8 Wickets","Ft. Lauderdale Lions: 148/8(20.0)Baltimore Royals: 149/2(17.4)"
"90","League","09/07/2024","The Philadelphians","NYC Titans","The Philadelphians won by 32 Runs","The Philadelphians: 140/6(20.0)NYC Titans: 108/9(20.0)"
"91","League","09/07/2024","Silicon Valley Strikers","East Bay Blazers","East Bay Blazers won by 3 Wickets","Silicon Valley Strikers: 96/10(17.4)East Bay Blazers: 101/7(18.2)"
"92","League","09/07/2024","New Jersey Somerset Cavaliers","Manhattan Yorkers","New Jersey Somerset Cavaliers won by 97 Runs","New Jersey Somerset Cavaliers: 168/6(20.0)Manhattan Yorkers: 71/10(17.1)"
"93","League","09/06/2024","Dallas Xforia Giants","St. Louis Americans","Dallas Xforia Giants won by 45 Runs","Dallas Xforia Giants: 188/6(20.0)St. Louis Americans: 143/9(20.0)"
"94","League","09/06/2024","Ft. Lauderdale Lions","Morrisville Raptors","Morrisville Raptors won by 4 Wickets","Ft. Lauderdale Lions: 152/4(20.0)Morrisville Raptors: 153/6(20.0)"
"95","League","09/06/2024","Silicon Valley Strikers","Golden State Grizzlies","Silicon Valley Strikers won by 61 Runs","Silicon Valley Strikers: 175/5(20.0)Golden State Grizzlies: 114/10(20.0)"
"96","League","09/06/2024","Manhattan Yorkers","The Philadelphians","The Philadelphians won by 4 Wickets","Manhattan Yorkers: 125/6(20.0)The Philadelphians: 126/6(18.4)"
"97","League","09/02/2024","NYC Titans","New Jersey Stallions","New Jersey Stallions won by 7 Wickets","NYC Titans: 103/7(20.0)New Jersey Stallions: 105/3(13.2)"
"98","League","09/02/2024","Lone Star Athletics","Dallas Xforia Giants","Abandoned.","Lone Star Athletics: 0/0(0.0)"
"99","League","09/02/2024","Baltimore Royals","Atlanta Fire","Super Over. Winner: Baltimore Royals","Baltimore Royals: 128/8(20.0)Atlanta Fire: 128/6(20.0)"
"100","League","09/02/2024","The Philadelphians","New Jersey Somerset Cavaliers","New Jersey Somerset Cavaliers won by 6 Wickets","The Philadelphians: 145/4(20.0)New Jersey Somerset Cavaliers: 146/4(16.1)"
"101","League","09/01/2024","Dallas Xforia Giants","Houston Hurricanes","Houston Hurricanes won by 7 Wickets","Dallas Xforia Giants: 127/8(20.0)Houston Hurricanes: 128/3(18.3)"
"102","League","09/01/2024","Atlanta Fire","Baltimore Royals","Baltimore Royals won by 5 Wickets","Atlanta Fire: 139/10(20.1)Baltimore Royals: 142/5(18.2)"
"103","League","09/01/2024","New Jersey Somerset Cavaliers","NYC Titans","New Jersey Somerset Cavaliers won by 78 Runs (D/L)","New Jersey Somerset Cavaliers: 159/2(16.0)NYC Titans: 85/9(16.0)"
"104","League","09/01/2024","Morrisville Raptors","Atlanta Lightning","Morrisville Raptors won by 38 Runs","Morrisville Raptors: 118/6(12.0)Atlanta Lightning: 80/8(12.0)"
"105","League","09/01/2024","New England Eagles","The Philadelphians","The Philadelphians won by 5 Wickets","New England Eagles: 121/8(20.0)The Philadelphians: 126/5(18.2)"
"106","League","08/31/2024","Baltimore Royals","Atlanta Lightning","Atlanta Lightning won by 3 Wickets","Baltimore Royals: 103/6(20.0)Atlanta Lightning: 104/7(19.3)"
"107","League","08/31/2024","Houston Hurricanes","Lone Star Athletics","Houston Hurricanes won by 3 Runs","Houston Hurricanes: 151/6(19.5)Lone Star Athletics: 148/8(20.0)"
"108","League","08/31/2024","The Philadelphians","New England Eagles","The Philadelphians won by 80 Runs","The Philadelphians: 135/7(20.0)New England Eagles: 55/10(12.3)"
"109","League","08/31/2024","Morrisville Raptors","Atlanta Fire","Atlanta Fire won by 5 Wickets (D/L)","Morrisville Raptors: 52/6(8.0)Atlanta Fire: 58/5(7.4)"
"110","League","08/31/2024","New Jersey Stallions","Manhattan Yorkers","New Jersey Stallions won by 21 Runs","New Jersey Stallions: 124/6(20.0)Manhattan Yorkers: 103/8(20.0)"
"111","League","08/30/2024","Silicon Valley Strikers","East Bay Blazers","East Bay Blazers won by 7 Wickets","Silicon Valley Strikers: 142/7(20.0)East Bay Blazers: 143/3(17.2)"
"112","League","08/30/2024","Atlanta Lightning","Morrisville Raptors","Morrisville Raptors won by 2 Wickets","Atlanta Lightning: 113/10(19.2)Morrisville Raptors: 114/8(19.4)"
"113","League","08/30/2024","Manhattan Yorkers","New Jersey Somerset Cavaliers","Manhattan Yorkers won by 10 Runs","Manhattan Yorkers: 119/7(20.0)New Jersey Somerset Cavaliers: 109/9(20.0)"
