"SNO","MATCH TYPE","DATE","Team ONE","TEAM TWO","RESULT","SCORE SUMMARY"
"36","League","09/16/2023","Manhattan Yorkers","New Jersey Somerset Cavaliers","New Jersey Somerset Cavaliers won by 7 Wickets","Manhattan Yorkers: 66/8(20.1)New Jersey Somerset Cavaliers: 67/3(16.4)"
"37","League","09/15/2023","Dallas Mustangs","Dallas Xforia Giants","Dallas Mustangs won by 43 Runs","Dallas Mustangs: 222/3(20.0)Dallas Xforia Giants: 179/8(20.0)"
"38","League","09/15/2023","East Bay Blazers","Golden State Grizzlies","East Bay Blazers won by 22 Runs","East Bay Blazers: 139/6(20.0)Golden State Grizzlies: 117/8(20.0)"
"39","League","09/11/2023","Empire State Titans","Manhattan Yorkers","Empire State Titans won by 54 Runs","Empire State Titans: 128/10(19.3)Manhattan Yorkers: 74/10(17.1)"
"40","League","09/11/2023","The Philadelphians","New England Eagles","New England Eagles won by 8 Wickets","The Philadelphians: 63/8(10.0)New England Eagles: 64/2(8.5)"
"41","League","09/10/2023","Manhattan Yorkers","New England Eagles","Abandoned.","Manhattan Yorkers: 0/0(0.0)"
"42","League","09/10/2023","Empire State Titans","The Philadelphians","Abandoned.","Empire State Titans: 0/0(0.0)"
"43","League","09/10/2023","Atlanta Lightning","Morrisville Raptors","Abandoned.","Atlanta Lightning: 0/0(0.0)"
"44","League","09/10/2023","Los Angeles Lashings","East Bay Blazers","East Bay Blazers won by 3 Wickets","Los Angeles Lashings: 155/5(20.0)East Bay Blazers: 159/7(20.0)"
"45","League","09/10/2023","Dallas Mustangs","Lone Star Athletics","Dallas Mustangs won by 41 Runs","Dallas Mustangs: 167/7(20.0)Lone Star Athletics: 126/7(20.0)"
"46","League","09/10/2023","San Diego Surf Riders","Silicon Valley Strikers","Silicon Valley Strikers won by 5 Wickets","San Diego Surf Riders: 141/3(20.0)Silicon Valley Strikers: 142/5(19.3)"
"47","League","09/10/2023","Chicago Tigers","St. Louis Americans","Chicago Tigers won by 25 Runs","Chicago Tigers: 128/6(20.0)St. Louis Americans: 103/10(16.4)"
"48","League","09/09/2023","Dallas Xforia Giants","Lone Star Athletics","Dallas Xforia Giants won by 21 Runs","Dallas Xforia Giants: 168/3(20.0)Lone Star Athletics: 147/8(20.0)"
"49","League","09/09/2023","Los Angeles Lashings","Silicon Valley Strikers","Silicon Valley Strikers won by 9 Wickets","Los Angeles Lashings: 103/6(20.0)Silicon Valley Strikers: 105/1(13.3)"
"50","League","09/09/2023","Morrisville Raptors","Atlanta Lightning","Abandoned.","Morrisville Raptors: 0/0(0.0)"
"51","League","09/09/2023","Atlanta Fire","Baltimore Royals","Abandoned.","Atlanta Fire: 0/0(0.0)"
"52","League","09/09/2023","St. Louis Americans","Chicago Tigers","St. Louis Americans won by 36 Runs","St. Louis Americans: 166/9(20.0)Chicago Tigers: 130/10(19.2)"
"53","League","09/09/2023","Houston Hurricanes","Dallas Mustangs","Dallas Mustangs won by 8 Wickets","Houston Hurricanes: 126/7(20.0)Dallas Mustangs: 127/2(14.4)"
"54","League","09/09/2023","East Bay Blazers","San Diego Surf Riders","East Bay Blazers won by 77 Runs","East Bay Blazers: 157/6(20.0)San Diego Surf Riders: 80/9(20.0)"
"55","League","09/08/2023","Houston Hurricanes","Dallas Xforia Giants","Dallas Xforia Giants won by 4 Runs (D/L)","Houston Hurricanes: 163/4(20.0)Dallas Xforia Giants: 87/3(11.0)"
"56","League","09/08/2023","Atlanta Fire","Baltimore Royals","Atlanta Fire won by 22 Runs","Atlanta Fire: 110/6(20.0)Baltimore Royals: 88/10(19.1)"
"57","League","09/06/2023","Chicago Kingsmen","Dallas Xforia Giants","Dallas Xforia Giants won by 5 Wickets","Chicago Kingsmen: 161/6(20.0)Dallas Xforia Giants: 166/5(18.3)"
"58","League","09/04/2023","San Diego Surf Riders","Golden State Grizzlies","San Diego Surf Riders won by 29 Runs","San Diego Surf Riders: 145/8(20.0)Golden State Grizzlies: 116/10(17.5)"
"59","League","09/04/2023","Chicago Kingsmen","Lone Star Athletics","Abandoned.","Chicago Kingsmen: 0/0(0.0)"
"60","League","09/04/2023","Houston Hurricanes","Chicago Tigers","Houston Hurricanes won by 24 Runs","Houston Hurricanes: 178/2(20.0)Chicago Tigers: 154/7(20.0)"
"61","League","09/04/2023","Atlanta Lightning","Baltimore Royals","Atlanta Lightning won by 31 Runs","Atlanta Lightning: 114/10(19.2)Baltimore Royals: 83/10(19.2)"
"62","League","09/04/2023","Seattle Thunderbolts","Los Angeles Lashings","Los Angeles Lashings won by 7 Wickets","Seattle Thunderbolts: 144/5(20.0)Los Angeles Lashings: 145/3(16.3)"
"63","League","09/04/2023","Atlanta Fire","Ft. Lauderdale Lions","Ft. Lauderdale Lions won by 6 Wickets","Atlanta Fire: 120/9(20.0)Ft. Lauderdale Lions: 121/4(17.0)"
"64","League","09/04/2023","Dallas Mustangs","Michigan Cricket Stars","Dallas Mustangs won by 47 Runs","Dallas Mustangs: 155/5(20.0)Michigan Cricket Stars: 108/10(15.4)"
"65","League","09/04/2023","St. Louis Americans","Dallas Xforia Giants","Abandoned.","St. Louis Americans: 26/1(4.1)"
"66","League","09/04/2023","Orlando Galaxy","Morrisville Raptors","Orlando Galaxy won by 9 Runs","Orlando Galaxy: 142/9(20.0)Morrisville Raptors: 133/10(19.3)"
"67","League","09/03/2023","San Diego Surf Riders","Golden State Grizzlies","Golden State Grizzlies won by 5 Wickets","San Diego Surf Riders: 133/7(20.0)Golden State Grizzlies: 137/5(19.1)"
"68","League","09/03/2023","Michigan Cricket Stars","Houston Hurricanes","Michigan Cricket Stars won by 50 Runs","Michigan Cricket Stars: 169/6(20.0)Houston Hurricanes: 119/10(18.3)"
"69","League","09/03/2023","Morrisville Raptors","Atlanta Fire","Atlanta Fire won by 7 Wickets","Morrisville Raptors: 144/5(20.0)Atlanta Fire: 150/3(18.2)"
"70","League","09/03/2023","Lone Star Athletics","St. Louis Americans","Lone Star Athletics won by 23 Runs (D/L)","Lone Star Athletics: 192/2(20.0)St. Louis Americans: 123/4(14.0)"
"71","League","09/03/2023","Seattle Thunderbolts","Los Angeles Lashings","Seattle Thunderbolts won by 28 Runs","Seattle Thunderbolts: 184/2(20.0)Los Angeles Lashings: 156/9(20.0)"
"72","League","09/03/2023","Orlando Galaxy","Atlanta Lightning","Atlanta Lightning won by 8 Wickets","Orlando Galaxy: 107/8(20.0)Atlanta Lightning: 110/2(16.4)"
"73","League","09/03/2023","Chicago Tigers","Dallas Xforia Giants","Dallas Xforia Giants won by 7 Wickets","Chicago Tigers: 118/9(20.0)Dallas Xforia Giants: 120/3(15.5)"
"74","League","09/03/2023","Dallas Mustangs","Chicago Kingsmen","Chicago Kingsmen won by 7 Wickets","Dallas Mustangs: 165/5(20.0)Chicago Kingsmen: 168/3(16.3)"
"75","League","09/03/2023","Baltimore Royals","Ft. Lauderdale Lions","Ft. Lauderdale Lions won by 6 Wickets","Baltimore Royals: 116/8(20.0)Ft. Lauderdale Lions: 119/4(18.3)"
"76","League","09/03/2023","New England Eagles","Manhattan Yorkers","Manhattan Yorkers won by 6 Wickets","New England Eagles: 64/10(19.5)Manhattan Yorkers: 65/4(17.2)"
"77","League","09/02/2023","Houston Hurricanes","St. Louis Americans","Houston Hurricanes won by 14 Runs","Houston Hurricanes: 125/4(12.0)St. Louis Americans: 111/5(12.0)"
"78","League","09/02/2023","San Diego Surf Riders","Seattle Thunderbolts","San Diego Surf Riders won by 1 Run","San Diego Surf Riders: 130/9(20.0)Seattle Thunderbolts: 129/7(20.0)"
"79","League","09/02/2023","Lone Star Athletics","Michigan Cricket Stars","Michigan Cricket Stars won by 6 Wickets","Lone Star Athletics: 119/9(20.0)Michigan Cricket Stars: 124/4(17.0)"
"80","League","09/02/2023","The Philadelphians","New England Eagles","The Philadelphians won by 19 Runs","The Philadelphians: 142/9(20.0)New England Eagles: 123/10(18.4)"
"81","League","09/02/2023","Orlando Galaxy","Morrisville Raptors","Morrisville Raptors won by 6 Wickets","Orlando Galaxy: 119/7(20.0)Morrisville Raptors: 120/4(18.2)"
"82","League","09/02/2023","Baltimore Royals","Atlanta Lightning","Atlanta Lightning won by 7 Wickets","Baltimore Royals: 96/9(20.0)Atlanta Lightning: 97/3(10.5)"
"83","League","09/02/2023","Dallas Mustangs","Chicago Tigers","Dallas Mustangs won by 68 Runs","Dallas Mustangs: 214/5(20.0)Chicago Tigers: 146/10(19.4)"
"84","League","09/02/2023","Ft. Lauderdale Lions","Atlanta Fire","Atlanta Fire won by 3 Wickets","Ft. Lauderdale Lions: 98/8(20.0)Atlanta Fire: 100/7(17.0)"
"85","League","09/02/2023","Empire State Titans","The Philadelphians","The Philadelphians won by 8 Wickets","Empire State Titans: 107/10(19.0)The Philadelphians: 108/2(10.2)"
"86","League","09/01/2023","San Diego Surf Riders","Seattle Thunderbolts","San Diego Surf Riders won by 6 Runs","San Diego Surf Riders: 127/7(20.0)Seattle Thunderbolts: 121/10(19.4)"
"87","League","09/01/2023","Dallas Mustangs","St. Louis Americans","Dallas Mustangs won by 59 Runs","Dallas Mustangs: 162/8(20.0)St. Louis Americans: 103/10(16.4)"
"88","League","09/01/2023","Michigan Cricket Stars","Dallas Xforia Giants","Dallas Xforia Giants won by 9 Wickets","Michigan Cricket Stars: 144/8(20.0)Dallas Xforia Giants: 146/1(16.0)"
"89","League","09/01/2023","Atlanta Lightning","Orlando Galaxy","Atlanta Lightning won by 98 Runs","Atlanta Lightning: 154/7(20.0)Orlando Galaxy: 56/10(16.1)"
"90","League","09/01/2023","Empire State Titans","Manhattan Yorkers","Empire State Titans won by 45 Runs","Empire State Titans: 156/5(20.0)Manhattan Yorkers: 111/9(20.0)"
"91","League","09/01/2023","Baltimore Royals","Ft. Lauderdale Lions","Baltimore Royals won by 71 Runs","Baltimore Royals: 178/6(20.0)Ft. Lauderdale Lions: 107/10(15.0)"
"92","League","09/01/2023","Chicago Kingsmen","Houston Hurricanes","Chicago Kingsmen won by 10 Runs","Chicago Kingsmen: 152/6(20.0)Houston Hurricanes: 142/10(20.0)"
"93","League","09/01/2023","Chicago Tigers","Lone Star Athletics","Lone Star Athletics won by 8 Wickets","Chicago Tigers: 105/7(20.0)Lone Star Athletics: 106/2(13.3)"
"94","League","09/01/2023","Atlanta Fire","Morrisville Raptors","Atlanta Fire won by 19 Runs","Atlanta Fire: 148/7(20.0)Morrisville Raptors: 129/6(20.0)"
"95","League","08/27/2023","Ft. Lauderdale Lions","Orlando Galaxy","Ft. Lauderdale Lions won by 9 Runs","Ft. Lauderdale Lions: 160/10(20.0)Orlando Galaxy: 151/8(20.0)"
"96","League","08/27/2023","Seattle Thunderbolts","East Bay Blazers","East Bay Blazers won by 4 Wickets","Seattle Thunderbolts: 144/7(20.0)East Bay Blazers: 146/6(20.0)"
"97","League","08/27/2023","Atlanta Lightning","Atlanta Fire","Atlanta Lightning won by 14 Runs","Atlanta Lightning: 172/6(20.0)Atlanta Fire: 158/9(20.0)"
"98","League","08/27/2023","Los Angeles Lashings","Golden State Grizzlies","Golden State Grizzlies won by 4 Wickets","Los Angeles Lashings: 128/8(20.0)Golden State Grizzlies: 133/6(16.1)"
"99","League","08/27/2023","New Jersey Stallions","Empire State Titans","New Jersey Stallions won by 46 Runs","New Jersey Stallions: 148/5(16.0)Empire State Titans: 102/6(16.0)"
"100","League","08/26/2023","Orlando Galaxy","Ft. Lauderdale Lions","Ft. Lauderdale Lions won by 6 Wickets","Orlando Galaxy: 121/7(20.0)Ft. Lauderdale Lions: 125/4(16.5)"
"101","League","08/26/2023","Seattle Thunderbolts","East Bay Blazers","Seattle Thunderbolts won by 10 Runs","Seattle Thunderbolts: 135/8(20.0)East Bay Blazers: 125/9(20.0)"
"102","League","08/26/2023","New Jersey Somerset Cavaliers","Empire State Titans","New Jersey Somerset Cavaliers won by 9 Runs","New Jersey Somerset Cavaliers: 124/8(20.0)Empire State Titans: 115/8(20.0)"
"103","League","08/26/2023","Golden State Grizzlies","Los Angeles Lashings","Golden State Grizzlies won by 14 Runs","Golden State Grizzlies: 150/8(20.0)Los Angeles Lashings: 136/8(20.0)"
"104","League","08/26/2023","Atlanta Fire","Atlanta Lightning","Atlanta Lightning won by 4 Wickets","Atlanta Fire: 133/9(20.0)Atlanta Lightning: 136/6(18.3)"
"105","League","08/26/2023","New England Eagles","New Jersey Stallions","New Jersey Stallions won by 5 Wickets","New England Eagles: 106/4(20.0)New Jersey Stallions: 107/5(16.5)"
"106","League","08/25/2023","San Diego Surf Riders","Los Angeles Lashings","Los Angeles Lashings won by 5 Wickets","San Diego Surf Riders: 118/7(20.0)Los Angeles Lashings: 119/5(19.2)"
"107","League","08/25/2023","New England Eagles","New Jersey Somerset Cavaliers","New England Eagles won by 3 Runs","New England Eagles: 93/10(18.0)New Jersey Somerset Cavaliers: 90/10(17.5)"
"108","League","08/20/2023","Orlando Galaxy","Atlanta Fire","Atlanta Fire won by 6 Wickets","Orlando Galaxy: 83/10(19.0)Atlanta Fire: 88/4(12.1)"
"109","League","08/20/2023","Golden State Grizzlies","Silicon Valley Strikers","Silicon Valley Strikers won by 5 Wickets","Golden State Grizzlies: 131/9(20.0)Silicon Valley Strikers: 132/5(20.0)"
"110","League","08/20/2023","St. Louis Americans","Chicago Kingsmen","Chicago Kingsmen won by 7 Wickets","St. Louis Americans: 61/10(20.0)Chicago Kingsmen: 67/3(10.0)"
"111","League","08/20/2023","New Jersey Somerset Cavaliers","New Jersey Stallions","New Jersey Somerset Cavaliers won by 8 Runs","New Jersey Somerset Cavaliers: 124/6(20.0)New Jersey Stallions: 116/6(20.0)"
"112","League","08/20/2023","Ft. Lauderdale Lions","Atlanta Lightning","Ft. Lauderdale Lions won by 12 Runs","Ft. Lauderdale Lions: 146/4(20.0)Atlanta Lightning: 134/7(20.0)"
"113","League","08/19/2023","St. Louis Americans","Chicago Kingsmen","Chicago Kingsmen won by 6 Wickets","St. Louis Americans: 130/8(20.0)Chicago Kingsmen: 131/4(19.2)"
"114","League","08/19/2023","Atlanta Lightning","Ft. Lauderdale Lions","Atlanta Lightning won by 27 Runs","Atlanta Lightning: 167/9(20.0)Ft. Lauderdale Lions: 140/5(20.0)"
"115","League","08/19/2023","The Philadelphians","Manhattan Yorkers","The Philadelphians won by 13 Runs","The Philadelphians: 51/10(16.1)Manhattan Yorkers: 38/10(15.2)"
"116","League","08/19/2023","Golden State Grizzlies","Silicon Valley Strikers","Silicon Valley Strikers won by 6 Wickets","Golden State Grizzlies: 138/8(20.0)Silicon Valley Strikers: 139/4(18.2)"
"117","League","08/19/2023","Atlanta Fire","Orlando Galaxy","Atlanta Fire won by 130 Runs","Atlanta Fire: 190/7(20.0)Orlando Galaxy: 60/10(16.3)"
"118","League","08/19/2023","Chicago Tigers","Michigan Cricket Stars","Michigan Cricket Stars won by 7 Wickets","Chicago Tigers: 163/5(20.0)Michigan Cricket Stars: 165/3(19.2)"
"119","League","08/19/2023","New Jersey Somerset Cavaliers","New Jersey Stallions","New Jersey Stallions won by 5 Wickets","New Jersey Somerset Cavaliers: 81/9(20.0)New Jersey Stallions: 85/5(17.4)"
"120","League","08/18/2023","Michigan Cricket Stars","Chicago Tigers","Michigan Cricket Stars won by 110 Runs","Michigan Cricket Stars: 189/6(20.0)Chicago Tigers: 79/10(15.2)"
"121","League","08/18/2023","The Philadelphians","Manhattan Yorkers","The Philadelphians won by 29 Runs","The Philadelphians: 116/7(20.0)Manhattan Yorkers: 87/7(20.0)"
"122","League","08/14/2023","Empire State Titans","New Jersey Stallions","New Jersey Stallions won by 4 Wickets","Empire State Titans: 124/6(20.0)New Jersey Stallions: 126/6(19.1)"
"123","League","08/13/2023","East Bay Blazers","Golden State Grizzlies","East Bay Blazers won by 19 Runs","East Bay Blazers: 179/4(20.0)Golden State Grizzlies: 160/8(20.0)"
"124","League","08/13/2023","New Jersey Stallions","New England Eagles","New Jersey Stallions won by 13 Runs","New Jersey Stallions: 127/5(20.0)New England Eagles: 114/9(20.0)"
"125","League","08/13/2023","Seattle Thunderbolts","Silicon Valley Strikers","Silicon Valley Strikers won by 3 Wickets","Seattle Thunderbolts: 105/10(18.2)Silicon Valley Strikers: 106/7(18.2)"
"126","League","08/13/2023","Baltimore Royals","Orlando Galaxy","Baltimore Royals won by 76 Runs","Baltimore Royals: 140/10(20.0)Orlando Galaxy: 64/10(17.4)"
"127","League","08/13/2023","Michigan Cricket Stars","St. Louis Americans","St. Louis Americans won by 6 Wickets","Michigan Cricket Stars: 153/7(20.0)St. Louis Americans: 156/4(19.0)"
"128","League","08/13/2023","Lone Star Athletics","Dallas Xforia Giants","Lone Star Athletics won by 28 Runs","Lone Star Athletics: 142/7(20.0)Dallas Xforia Giants: 114/10(18.4)"
"129","League","08/13/2023","New Jersey Somerset Cavaliers","Empire State Titans","Empire State Titans won by 4 Wickets (D/L)","New Jersey Somerset Cavaliers: 99/8(20.0)Empire State Titans: 66/6(11.5)"
"130","League","08/12/2023","Seattle Thunderbolts","Silicon Valley Strikers","Seattle Thunderbolts won by 49 Runs","Seattle Thunderbolts: 131/6(20.0)Silicon Valley Strikers: 82/10(14.4)"
"131","League","08/12/2023","Orlando Galaxy","Baltimore Royals","Baltimore Royals won by 7 Wickets","Orlando Galaxy: 81/10(16.5)Baltimore Royals: 82/3(12.0)"
"132","League","08/12/2023","Michigan Cricket Stars","St. Louis Americans","Michigan Cricket Stars won by 24 Runs","Michigan Cricket Stars: 110/5(14.0)St. Louis Americans: 86/8(14.0)"
"133","League","08/12/2023","New England Eagles","New Jersey Somerset Cavaliers","New England Eagles won by 43 Runs","New England Eagles: 111/9(20.0)New Jersey Somerset Cavaliers: 68/10(16.3)"
"134","League","08/12/2023","Dallas Xforia Giants","Houston Hurricanes","Houston Hurricanes won by 8 Wickets","Dallas Xforia Giants: 165/8(20.0)Houston Hurricanes: 167/2(15.3)"
"135","League","08/12/2023","Lone Star Athletics","Dallas Mustangs","Lone Star Athletics won by 10 Runs","Lone Star Athletics: 186/2(20.0)Dallas Mustangs: 176/7(20.0)"
"136","League","08/11/2023","Dallas Mustangs","Houston Hurricanes","Super Over. Winner: Dallas Mustangs","Dallas Mustangs: 148/7(20.0)Houston Hurricanes: 148/7(20.0)"
"137","League","08/07/2023","The Philadelphians","New Jersey Somerset Cavaliers","Abandoned.","The Philadelphians: 0/0(0.0)"
"138","League","08/07/2023","Silicon Valley Strikers","San Diego Surf Riders","Silicon Valley Strikers won by 55 Runs","Silicon Valley Strikers: 174/7(20.0)San Diego Surf Riders: 119/10(19.3)"
"139","League","08/06/2023","Los Angeles Lashings","Silicon Valley Strikers","Los Angeles Lashings won by 21 Runs","Los Angeles Lashings: 144/7(20.0)Silicon Valley Strikers: 123/9(20.0)"
"140","League","08/06/2023","East Bay Blazers","San Diego Surf Riders","East Bay Blazers won by 25 Runs","East Bay Blazers: 152/9(20.0)San Diego Surf Riders: 127/8(20.0)"
"141","League","08/06/2023","Baltimore Royals","Morrisville Raptors","Morrisville Raptors won by 5 Wickets","Baltimore Royals: 160/6(20.0)Morrisville Raptors: 161/5(19.0)"
"142","League","08/06/2023","New Jersey Somerset Cavaliers","Manhattan Yorkers","New Jersey Somerset Cavaliers won by 51 Runs","New Jersey Somerset Cavaliers: 133/5(20.0)Manhattan Yorkers: 82/9(20.0)"
"143","League","08/05/2023","Chicago Kingsmen","Chicago Tigers","Abandoned.","Chicago Kingsmen: 0/0(0.0)"
"144","League","08/05/2023","Morrisville Raptors","Baltimore Royals","Baltimore Royals won by 6 Wickets","Morrisville Raptors: 157/5(20.0)Baltimore Royals: 160/4(19.4)"
"145","League","08/05/2023","East Bay Blazers","Los Angeles Lashings","East Bay Blazers won by 7 Runs","East Bay Blazers: 159/5(20.0)Los Angeles Lashings: 152/7(20.0)"
"146","League","08/05/2023","New Jersey Stallions","The Philadelphians","The Philadelphians won by 5 Wickets","New Jersey Stallions: 100/6(20.0)The Philadelphians: 101/5(15.5)"
"147","League","08/04/2023","Los Angeles Lashings","San Diego Surf Riders","Los Angeles Lashings won by 10 Runs","Los Angeles Lashings: 134/8(20.0)San Diego Surf Riders: 124/8(20.0)"
"148","League","08/04/2023","Chicago Kingsmen","Chicago Tigers","Chicago Tigers won by 5 Wickets","Chicago Kingsmen: 165/6(20.0)Chicago Tigers: 170/5(17.4)"
"149","League","08/04/2023","New Jersey Stallions","Manhattan Yorkers","Manhattan Yorkers won by 6 Wickets","New Jersey Stallions: 94/8(20.0)Manhattan Yorkers: 95/4(19.1)"
